date,count,count_gay,count_straight,count_aroace,count_polysexual
2019-10-01,13,7,6,13,0
2019-09-30,20,13,3,20,0
2019-09-29,43,29,6,43,6
2019-09-28,21,14,3,21,2
2019-09-27,10,4,2,10,1
2019-09-26,24,4,10,24,2
2019-09-25,10,5,0,10,1
2019-09-24,17,10,1,17,2
2019-09-23,34,10,12,34,4
2019-09-22,21,17,4,21,1
2019-09-21,12,10,3,12,1
2019-09-20,10,3,5,10,1
2019-09-19,15,13,4,15,1
2019-09-18,16,7,2,16,2
2019-09-17,15,11,4,15,2
2019-09-16,16,10,2,16,5
2019-09-15,18,13,4,18,3
2019-09-14,16,9,5,16,3
2019-09-13,15,10,2,15,2
2019-09-12,9,4,4,9,0
2019-09-11,26,17,2,26,6
2019-09-10,18,9,3,18,0
2019-09-09,28,18,2,28,2
2019-09-08,26,21,8,26,7
2019-09-07,20,18,4,20,4
2019-09-06,23,11,1,23,0
2019-09-05,29,27,6,29,0
2019-09-04,23,13,1,23,1
2019-09-03,22,15,3,22,1
2019-09-02,32,23,4,32,1
2019-09-01,36,26,8,36,7
2019-08-31,21,16,1,21,2
2019-08-30,19,14,4,19,1
2019-08-29,26,20,9,26,2
2019-08-28,18,9,4,18,4
2019-08-27,16,11,0,16,6
2019-08-26,27,23,3,27,1
2019-08-25,22,16,4,22,4
2019-08-24,25,10,1,25,4
2019-08-23,19,15,1,19,0
2019-08-22,29,16,4,29,8
2019-08-21,14,14,0,14,1
2019-08-20,28,15,9,28,6
2019-08-19,28,21,2,28,1
2019-08-18,16,14,3,16,4
2019-08-17,14,11,3,14,0
2019-08-16,40,35,1,40,6
2019-08-15,15,9,2,15,1
2019-08-14,26,9,3,26,0
2019-08-13,12,12,2,12,2
2019-08-12,25,11,7,25,4
2019-08-11,16,16,4,16,2
2019-08-10,20,11,3,20,5
2019-08-09,14,12,1,14,0
2019-08-08,42,32,6,42,5
2019-08-07,23,15,2,23,1
2019-08-06,17,13,1,17,0
2019-08-05,18,11,5,18,1
2019-08-04,42,26,5,42,1
2019-08-03,28,21,7,28,3
2019-08-02,22,12,6,22,2
2019-08-01,26,21,4,26,4
2019-07-31,21,14,5,21,3
2019-07-30,31,17,1,31,4
2019-07-29,24,11,0,24,3
2019-07-28,33,25,10,33,2
2019-07-27,17,13,2,17,3
2019-07-26,25,24,6,25,3
2019-07-25,25,13,0,25,5
2019-07-24,21,14,1,21,1
2019-07-23,25,22,2,25,4
2019-07-22,17,16,2,17,1
2019-07-21,31,14,3,31,1
2019-07-20,17,13,2,17,2
2019-07-19,29,28,2,29,6
2019-07-18,13,5,1,13,0
2019-07-17,22,16,3,22,2
2019-07-16,19,12,2,19,3
2019-07-15,25,23,6,25,3
2019-07-14,28,17,3,28,5
2019-07-13,16,12,6,16,6
2019-07-12,25,20,4,25,1
2019-07-11,22,19,2,22,1
2019-07-10,30,21,2,30,2
2019-07-09,33,27,4,33,7
2019-07-08,34,24,6,34,3
2019-07-07,25,14,4,25,4
2019-07-06,22,17,1,22,1
2019-07-05,23,14,4,23,2
2019-07-04,26,19,0,26,0
2019-07-03,20,15,3,20,2
2019-07-02,27,20,10,27,7
2019-07-01,43,36,2,43,5
2019-06-30,35,34,1,35,2
2019-06-29,23,15,2,23,6
2019-06-28,28,21,5,28,3
2019-06-27,33,23,0,33,3
2019-06-26,21,18,0,21,0
2019-06-25,22,12,3,22,1
2019-06-24,30,18,4,30,1
2019-06-23,22,17,9,22,5
2019-06-22,22,18,2,22,5
2019-06-21,32,27,2,32,1
2019-06-20,13,11,2,13,2
2019-06-19,16,12,3,16,4
2019-06-18,20,16,4,20,1
2019-06-17,35,21,7,35,2
2019-06-16,16,7,0,16,0
2019-06-15,21,10,2,21,5
2019-06-14,28,23,0,28,0
2019-06-13,10,9,0,10,0
2019-06-12,6,5,2,6,0
2019-06-11,35,25,8,35,3
2019-06-10,36,28,3,36,0
2019-06-09,23,17,7,23,7
2019-06-08,11,10,2,11,3
2019-06-07,29,22,9,29,11
2019-06-06,25,18,6,25,5
2019-06-05,28,24,2,28,8
2019-06-04,23,8,1,23,2
2019-06-03,20,11,7,20,1
2019-06-02,23,11,6,23,5
2019-06-01,18,12,4,18,4
2019-05-31,9,8,2,9,3
2019-05-30,11,7,4,11,2
2019-05-29,13,11,1,13,0
2019-05-28,17,14,4,17,0
2019-05-27,13,9,3,13,1
2019-05-26,13,11,3,13,6
2019-05-25,14,11,2,14,5
2019-05-24,35,15,9,35,5
2019-05-23,18,14,11,18,3
2019-05-22,13,11,1,13,4
2019-05-21,12,7,3,12,1
2019-05-20,22,20,8,22,7
2019-05-19,9,5,6,9,2
2019-05-18,19,7,4,19,3
2019-05-17,4,3,0,4,0
2019-05-16,11,10,5,11,4
2019-05-15,6,4,0,6,1
2019-05-14,12,12,0,12,1
2019-05-13,5,2,0,5,1
2019-05-12,11,7,3,11,3
2019-05-11,15,8,10,15,7
2019-05-10,13,6,3,13,4
2019-05-09,8,7,3,8,4
2019-05-08,18,13,5,18,2
2019-05-07,11,8,2,11,2
2019-05-06,15,6,4,15,0
2019-05-05,17,14,11,17,9
2019-05-04,5,2,2,5,1
2019-05-03,17,9,8,17,3
2019-05-02,5,2,1,5,1
2019-05-01,7,5,6,7,0
2019-04-30,24,15,3,24,0
2019-04-29,12,6,5,12,2
2019-04-28,10,7,4,10,2
2019-04-27,11,7,4,11,6
2019-04-26,3,3,1,3,0
2019-04-25,16,10,7,16,7
2019-04-24,9,3,0,9,2
2019-04-23,10,6,1,10,2
2019-04-22,9,9,5,9,3
2019-04-21,13,11,0,13,1
2019-04-20,10,9,1,10,0
2019-04-19,9,4,1,9,0
2019-04-18,12,4,1,12,0
2019-04-17,9,8,2,9,2
2019-04-16,20,14,8,20,4
2019-04-15,5,3,1,5,3
2019-04-14,14,10,5,14,1
2019-04-13,7,5,1,7,1
2019-04-12,10,6,2,10,0
2019-04-11,13,10,2,13,1
2019-04-10,7,4,1,7,0
2019-04-09,12,7,0,12,1
2019-04-08,6,3,1,6,0
2019-04-07,16,11,2,16,3
2019-04-06,7,3,1,7,1
2019-04-05,18,7,2,18,3
2019-04-04,11,9,1,11,0
2019-04-03,15,10,3,15,4
2019-04-02,25,9,8,25,1
2019-04-01,4,2,2,4,0
2019-03-31,12,8,0,12,1
2019-03-30,10,8,2,10,3
2019-03-29,10,7,3,10,2
2019-03-28,10,9,2,10,5
2019-03-27,4,2,0,4,0
2019-03-26,13,13,7,13,2
2019-03-25,18,9,5,18,1
2019-03-24,9,4,0,9,1
2019-03-23,20,14,3,20,0
2019-03-22,13,8,6,13,0
2019-03-21,12,9,4,12,3
2019-03-20,24,17,3,24,0
2019-03-19,8,8,1,8,1
2019-03-18,14,10,2,14,7
2019-03-17,9,7,0,9,0
2019-03-16,18,12,1,18,4
2019-03-15,9,6,3,9,2
2019-03-14,17,7,5,17,0
2019-03-13,9,5,0,9,1
2019-03-12,19,7,5,19,3
2019-03-11,13,7,4,13,0
2019-03-10,8,6,4,8,3
2019-03-09,20,12,3,20,0
2019-03-08,10,4,3,10,1
2019-03-07,9,8,1,9,0
2019-03-06,16,13,4,16,4
2019-03-05,9,7,2,9,1
2019-03-04,17,14,3,17,2
2019-03-03,18,12,5,18,2
2019-03-02,13,7,5,13,4
2019-03-01,15,11,0,15,2
2019-02-28,26,11,3,26,0
2019-02-27,15,4,5,15,4
2019-02-26,13,8,4,13,0
2019-02-25,8,6,1,8,2
2019-02-24,14,9,0,14,1
2019-02-23,34,8,6,34,8
2019-02-22,8,5,1,8,0
2019-02-21,18,12,2,18,3
2019-02-20,9,8,3,9,0
2019-02-19,32,17,12,32,5
2019-02-18,16,11,2,16,3
2019-02-17,12,8,1,12,0
2019-02-16,10,10,3,10,2
2019-02-15,34,14,7,34,3
2019-02-14,19,13,2,19,2
2019-02-13,22,10,11,22,0
2019-02-12,19,10,4,19,1
2019-02-11,15,8,2,15,1
2019-02-10,11,5,0,11,0
2019-02-09,25,10,13,25,0
2019-02-08,6,6,1,6,3
2019-02-07,13,8,4,13,0
2019-02-06,12,8,4,12,4
2019-02-05,18,11,6,18,2
2019-02-04,19,19,3,19,3
2019-02-03,18,17,1,18,5
2019-02-02,11,8,1,11,4
2019-02-01,14,7,5,14,4
2019-01-31,9,9,2,9,1
2019-01-30,7,7,0,7,0
2019-01-29,16,12,4,16,2
2019-01-28,14,6,1,14,3
2019-01-27,23,14,5,23,4
2019-01-26,16,9,2,16,0
2019-01-25,21,9,6,21,3
2019-01-24,3,3,0,3,1
