date,count,count_gay,count_straight,count_aroace,count_polysexual
2019-10-28,60,53,28,3,60
2019-10-27,45,36,18,2,45
2019-10-26,27,25,12,1,27
2019-10-25,31,25,11,1,31
2019-10-24,41,35,13,2,41
2019-10-23,35,29,10,3,35
2019-10-22,42,36,17,2,42
2019-10-21,40,30,14,3,40
2019-10-20,37,37,15,6,37
2019-10-19,41,39,17,1,41
2019-10-18,29,28,12,0,29
2019-10-17,39,35,11,0,39
2019-10-16,20,18,3,2,20
2019-10-15,29,25,12,2,29
2019-10-14,50,43,24,1,50
2019-10-13,34,30,12,0,34
2019-10-12,36,34,18,1,36
2019-10-11,33,32,14,2,33
2019-10-10,28,26,15,0,28
2019-10-09,33,26,18,2,33
2019-10-08,37,31,8,2,37
2019-10-07,40,35,14,1,40
2019-10-06,43,37,23,1,43
2019-10-05,45,37,19,3,45
2019-10-04,33,30,8,2,33
2019-10-03,39,36,11,0,39
2019-10-02,47,37,19,1,47
2019-10-01,55,50,22,0,55
2019-09-30,28,26,11,0,28
2019-09-29,49,39,21,6,49
2019-09-28,33,29,9,6,33
2019-09-27,60,59,29,2,60
2019-09-26,24,22,13,1,24
2019-09-25,46,42,22,1,46
2019-09-24,40,31,6,3,40
2019-09-23,42,38,16,4,42
2019-09-22,37,33,10,1,37
2019-09-21,46,37,17,1,46
2019-09-20,29,23,10,2,29
2019-09-19,27,22,12,1,27
2019-09-18,26,20,9,2,26
2019-09-17,43,39,21,3,43
2019-09-16,47,41,24,6,47
2019-09-15,48,44,19,5,48
2019-09-14,35,30,15,2,35
2019-09-13,37,31,9,3,37
2019-09-12,26,23,6,0,26
2019-09-11,28,27,7,6,28
2019-09-10,29,26,14,0,29
2019-09-09,43,39,12,1,43
2019-09-08,55,44,25,2,55
2019-09-07,39,36,15,1,39
2019-09-06,27,24,6,0,27
2019-09-05,28,24,9,0,28
2019-09-04,33,29,8,2,33
2019-09-03,40,38,14,1,40
2019-09-02,44,36,12,1,44
2019-09-01,51,46,20,3,51
2019-08-31,31,24,12,4,31
2019-08-30,46,38,9,1,46
2019-08-29,37,24,17,2,37
2019-08-28,41,38,14,2,41
2019-08-27,33,27,6,4,33
2019-08-26,33,27,17,3,33
