date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2019-10-01,aromantic,2,2,1,2,0
2019-09-30,aromantic,2,1,0,2,0
2019-09-29,aromantic,5,4,0,5,1
2019-09-28,aromantic,2,1,0,2,0
2019-09-27,aromantic,1,0,0,1,0
2019-09-26,aromantic,4,0,2,4,0
2019-09-25,aromantic,1,0,0,1,0
2019-09-24,aromantic,3,1,0,3,0
2019-09-23,aromantic,5,2,1,5,1
2019-09-22,aromantic,2,1,1,2,0
2019-09-21,aromantic,1,0,0,1,0
2019-09-20,aromantic,3,0,2,3,1
2019-09-19,aromantic,1,1,1,1,0
2019-09-17,aromantic,2,1,0,2,0
2019-09-16,aromantic,1,0,0,1,0
2019-09-15,aromantic,3,2,1,3,1
2019-09-14,aromantic,2,0,2,2,0
2019-09-13,aromantic,3,1,0,3,0
2019-09-11,aromantic,5,2,0,5,2
2019-09-10,aromantic,1,0,0,1,0
2019-09-09,aromantic,2,0,0,2,0
2019-09-08,aromantic,5,3,3,5,1
2019-09-07,aromantic,5,5,3,5,1
2019-09-06,aromantic,2,0,0,2,0
2019-09-05,aromantic,4,3,0,4,0
2019-09-04,aromantic,2,1,1,2,0
2019-09-03,aromantic,2,0,0,2,0
2019-09-02,aromantic,5,2,0,5,0
2019-09-01,aromantic,4,0,0,4,0
2019-08-31,aromantic,2,0,0,2,0
2019-08-30,aromantic,4,1,1,4,1
2019-08-29,aromantic,1,0,1,1,0
2019-08-28,aromantic,5,2,2,5,1
2019-08-26,aromantic,3,1,0,3,0
2019-08-25,aromantic,1,0,0,1,0
2019-08-24,aromantic,8,1,0,8,4
2019-08-23,aromantic,1,1,0,1,0
2019-08-22,aromantic,4,0,0,4,1
2019-08-21,aromantic,2,2,0,2,0
2019-08-20,aromantic,1,1,0,1,0
2019-08-17,aromantic,1,0,0,1,0
2019-08-16,aromantic,3,2,0,3,1
2019-08-15,aromantic,3,1,0,3,0
2019-08-14,aromantic,4,1,0,4,0
2019-08-13,aromantic,2,2,1,2,0
2019-08-12,aromantic,4,2,1,4,1
2019-08-11,aromantic,3,3,1,3,1
2019-08-10,aromantic,2,2,0,2,2
2019-08-09,aromantic,1,1,0,1,0
2019-08-08,aromantic,5,5,1,5,1
2019-08-07,aromantic,4,2,0,4,1
2019-08-06,aromantic,1,1,0,1,0
2019-08-05,aromantic,4,3,1,4,1
2019-08-04,aromantic,3,2,0,3,0
2019-08-02,aromantic,2,1,1,2,0
2019-07-31,aromantic,3,2,2,3,1
2019-07-30,aromantic,8,3,0,8,1
2019-07-29,aromantic,5,2,0,5,0
2019-07-28,aromantic,12,9,4,12,1
2019-07-26,aromantic,3,3,3,3,1
2019-07-25,aromantic,8,4,0,8,3
2019-07-24,aromantic,4,0,1,4,0
2019-07-23,aromantic,3,3,0,3,3
2019-07-22,aromantic,1,1,0,1,0
2019-07-21,aromantic,6,2,0,6,0
2019-07-20,aromantic,2,0,0,2,0
2019-07-19,aromantic,4,4,0,4,0
2019-07-18,aromantic,1,1,0,1,0
2019-07-15,aromantic,2,2,0,2,0
2019-07-14,aromantic,1,1,0,1,0
2019-07-13,aromantic,2,1,1,2,1
2019-07-12,aromantic,2,2,0,2,0
2019-07-11,aromantic,4,4,0,4,0
2019-07-10,aromantic,4,3,0,4,0
2019-07-09,aromantic,4,3,0,4,0
2019-07-08,aromantic,7,5,2,7,2
2019-07-07,aromantic,5,2,0,5,0
2019-07-06,aromantic,1,1,1,1,1
2019-07-05,aromantic,6,1,2,6,0
2019-07-04,aromantic,3,2,0,3,0
2019-07-03,aromantic,2,1,0,2,0
2019-07-02,aromantic,2,2,1,2,1
2019-07-01,aromantic,5,4,0,5,0
2019-06-29,aromantic,8,4,0,8,1
