date,tag,count
2015-10-25,slow burn,13
2015-10-24,slow burn,9
2015-10-23,slow burn,19
2015-10-22,slow burn,12
2015-10-21,slow burn,13
2015-10-20,slow burn,14
2015-10-19,slow burn,19
2015-10-18,slow burn,16
2015-10-17,slow burn,14
2015-10-16,slow burn,17
2015-10-15,slow burn,7
2015-10-14,slow burn,14
2015-10-13,slow burn,11
2015-10-12,slow burn,16
2015-10-11,slow burn,19
2015-10-10,slow burn,11
2015-10-09,slow burn,11
2015-10-08,slow burn,15
2015-10-07,slow burn,11
2015-10-06,slow burn,17
2015-10-05,slow burn,12
2015-10-04,slow burn,17
2015-10-03,slow burn,11
2015-10-02,slow burn,8
2015-10-01,slow burn,7
2015-09-30,slow burn,18
2015-09-29,slow burn,13
2015-09-28,slow burn,15
2015-09-27,slow burn,16
2015-09-26,slow burn,14
2015-09-25,slow burn,19
2015-09-24,slow burn,17
2015-09-23,slow burn,15
2015-09-22,slow burn,11
2015-09-21,slow burn,12
2015-09-20,slow burn,19
2015-09-19,slow burn,7
2015-09-18,slow burn,14
2015-09-17,slow burn,13
2015-09-16,slow burn,8
2015-09-15,slow burn,15
2015-09-14,slow burn,16
2015-09-13,slow burn,14
2015-09-12,slow burn,20
2015-09-11,slow burn,13
2015-09-10,slow burn,16
2015-09-09,slow burn,11
2015-09-08,slow burn,9
2015-09-07,slow burn,26
2015-09-06,slow burn,14
2015-09-05,slow burn,16
2015-09-04,slow burn,12
2015-09-03,slow burn,14
2015-09-02,slow burn,15
2015-09-01,slow burn,17
2015-08-31,slow burn,17
2015-08-30,slow burn,23
2015-08-29,slow burn,24
2015-08-28,slow burn,20
2015-08-27,slow burn,7
2015-08-26,slow burn,15
2015-08-25,slow burn,12
2015-08-24,slow burn,15
2015-08-23,slow burn,16
2015-08-22,slow burn,6
2015-08-21,slow burn,15
2015-08-20,slow burn,14
2015-08-19,slow burn,10
2015-08-18,slow burn,20
2015-08-17,slow burn,12
2015-08-16,slow burn,9
2015-08-15,slow burn,8
2015-08-14,slow burn,10
2015-08-13,slow burn,11
2015-08-12,slow burn,10
2015-08-11,slow burn,16
2015-08-10,slow burn,13
2015-08-09,slow burn,17
2015-08-08,slow burn,16
2015-08-07,slow burn,14
2015-08-06,slow burn,12
2015-08-05,slow burn,11
2015-08-04,slow burn,12
2015-08-03,slow burn,15
2015-08-02,slow burn,8
2015-08-01,slow burn,6
2015-07-31,slow burn,11
2015-07-30,slow burn,17
2015-07-29,slow burn,16
2015-07-28,slow burn,14
2015-07-27,slow burn,18
2015-07-26,slow burn,10
2015-07-25,slow burn,14
2015-07-24,slow burn,10
2015-07-23,slow burn,10
2015-07-22,slow burn,7
2015-07-21,slow burn,14
2015-07-20,slow burn,11
2015-07-19,slow burn,7
2015-07-18,slow burn,18
2015-07-17,slow burn,8
2015-07-16,slow burn,8
2015-07-15,slow burn,12
2015-07-14,slow burn,9
2015-07-13,slow burn,16
2015-07-12,slow burn,18
2015-07-11,slow burn,12
2015-07-10,slow burn,13
2015-07-09,slow burn,12
2015-07-08,slow burn,10
2015-07-07,slow burn,16
2015-07-06,slow burn,9
2015-07-05,slow burn,11
2015-07-04,slow burn,9
2015-07-03,slow burn,13
2015-07-02,slow burn,12
2015-07-01,slow burn,13
2015-06-30,slow burn,11
2015-06-29,slow burn,10
2015-06-28,slow burn,14
2015-06-27,slow burn,8
2015-06-26,slow burn,10
2015-06-25,slow burn,9
2015-06-24,slow burn,13
2015-06-23,slow burn,12
2015-06-22,slow burn,12
2015-06-21,slow burn,9
2015-06-20,slow burn,12
2015-06-19,slow burn,16
2015-06-18,slow burn,13
2015-06-17,slow burn,11
2015-06-16,slow burn,9
2015-06-15,slow burn,6
2015-06-14,slow burn,15
2015-06-13,slow burn,4
2015-06-12,slow burn,9
2015-06-11,slow burn,16
2015-06-10,slow burn,10
2015-06-09,slow burn,10
2015-06-08,slow burn,14
2015-06-07,slow burn,14
2015-06-06,slow burn,10
2015-06-05,slow burn,13
2015-06-04,slow burn,15
2015-06-03,slow burn,17
2015-06-02,slow burn,10
2015-06-01,slow burn,10
2015-05-31,slow burn,8
2015-05-30,slow burn,6
2015-05-29,slow burn,7
2015-05-28,slow burn,9
2015-05-27,slow burn,9
2015-05-26,slow burn,16
2015-05-25,slow burn,9
2015-05-24,slow burn,7
2015-05-23,slow burn,7
2015-05-22,slow burn,8
2015-05-21,slow burn,13
2015-05-20,slow burn,10
2015-05-19,slow burn,11
2015-05-18,slow burn,17
2015-05-17,slow burn,9
2015-05-16,slow burn,6
2015-05-15,slow burn,13
2015-05-14,slow burn,13
2015-05-13,slow burn,7
2015-05-12,slow burn,9
2015-05-11,slow burn,7
2015-05-10,slow burn,11
2015-05-09,slow burn,15
2015-05-08,slow burn,13
2015-05-07,slow burn,9
2015-05-06,slow burn,12
2015-05-05,slow burn,8
2015-05-04,slow burn,11
2015-05-03,slow burn,7
2015-05-02,slow burn,10
2015-05-01,slow burn,7
2015-04-30,slow burn,14
2015-04-29,slow burn,9
2015-04-28,slow burn,12
2015-04-27,slow burn,7
2015-04-26,slow burn,16
2015-04-25,slow burn,16
2015-04-24,slow burn,13
2015-04-23,slow burn,12
2015-04-22,slow burn,13
2015-04-21,slow burn,6
2015-04-20,slow burn,14
2015-04-19,slow burn,7
2015-04-18,slow burn,17
2015-04-17,slow burn,12
2015-04-16,slow burn,15
2015-04-15,slow burn,8
2015-04-14,slow burn,7
2015-04-13,slow burn,15
2015-04-12,slow burn,12
2015-04-11,slow burn,12
2015-04-10,slow burn,9
2015-04-09,slow burn,13
2015-04-08,slow burn,14
2015-04-07,slow burn,23
2015-04-06,slow burn,18
2015-04-05,slow burn,14
2015-04-04,slow burn,14
2015-04-03,slow burn,7
2015-04-02,slow burn,8
2015-04-01,slow burn,7
2015-03-31,slow burn,7
2015-03-30,slow burn,9
2015-03-29,slow burn,11
2015-03-28,slow burn,14
2015-03-27,slow burn,10
2015-03-26,slow burn,5
2015-03-25,slow burn,10
2015-03-24,slow burn,9
2015-03-23,slow burn,13
2015-03-22,slow burn,15
2015-03-21,slow burn,7
2015-03-20,slow burn,9
2015-03-19,slow burn,8
2015-03-18,slow burn,8
2015-03-17,slow burn,5
2015-03-16,slow burn,12
2015-03-15,slow burn,13
2015-03-14,slow burn,11
2015-03-13,slow burn,11
2015-03-11,slow burn,9
2015-03-10,slow burn,6
2015-03-09,slow burn,13
2015-03-08,slow burn,6
2015-03-07,slow burn,13
2015-03-06,slow burn,9
2015-03-05,slow burn,11
2015-03-04,slow burn,15
2015-03-03,slow burn,10
2015-03-02,slow burn,12
2015-03-01,slow burn,13
2015-02-28,slow burn,13
2015-02-27,slow burn,8
2015-02-26,slow burn,8
2015-02-25,slow burn,12
2015-02-24,slow burn,10
2015-02-23,slow burn,9
2015-02-22,slow burn,9
2015-02-21,slow burn,5
2015-02-20,slow burn,10
2015-02-19,slow burn,14
2015-02-18,slow burn,9
2015-02-17,slow burn,7
2015-02-16,slow burn,11
2015-02-15,slow burn,10
2015-02-14,slow burn,16
2015-02-13,slow burn,10
2015-02-12,slow burn,10
2015-02-11,slow burn,8
2015-02-10,slow burn,9
2015-02-09,slow burn,8
2015-02-08,slow burn,11
2015-02-07,slow burn,9
2015-02-06,slow burn,5
2015-02-05,slow burn,7
2015-02-04,slow burn,9
2015-02-03,slow burn,10
2015-02-02,slow burn,12
2015-02-01,slow burn,12
2015-01-31,slow burn,8
2015-01-30,slow burn,11
2015-01-29,slow burn,4
2015-01-28,slow burn,8
2015-01-27,slow burn,8
2015-01-26,slow burn,13
2015-01-25,slow burn,9
2015-01-24,slow burn,9
2015-01-23,slow burn,3
2015-01-22,slow burn,7
2015-01-21,slow burn,8
2015-01-20,slow burn,7
2015-01-19,slow burn,7
2015-01-18,slow burn,9
2015-01-17,slow burn,4
2015-01-16,slow burn,2
2015-01-15,slow burn,6
2015-01-14,slow burn,9
2015-01-13,slow burn,7
2015-01-12,slow burn,6
2015-01-11,slow burn,7
2015-01-10,slow burn,4
2015-01-09,slow burn,11
2015-01-08,slow burn,6
2015-01-07,slow burn,3
2015-01-06,slow burn,9
2015-01-05,slow burn,10
2015-01-04,slow burn,11
2015-01-03,slow burn,9
2015-01-02,slow burn,10
2015-01-01,slow burn,10
2014-12-31,slow burn,5
2014-12-30,slow burn,9
2014-12-29,slow burn,5
2014-12-28,slow burn,9
2014-12-27,slow burn,8
2014-12-26,slow burn,3
2014-12-25,slow burn,5
2014-12-24,slow burn,10
2014-12-23,slow burn,4
2014-12-22,slow burn,11
2014-12-21,slow burn,9
2014-12-20,slow burn,8
2014-12-19,slow burn,4
2014-12-18,slow burn,6
2014-12-17,slow burn,7
2014-12-16,slow burn,8
2014-12-15,slow burn,6
2014-12-14,slow burn,9
2014-12-13,slow burn,2
2014-12-12,slow burn,3
2014-12-11,slow burn,12
2014-12-10,slow burn,3
2014-12-09,slow burn,7
2014-12-08,slow burn,5
2014-12-07,slow burn,10
2014-12-06,slow burn,6
2014-12-05,slow burn,3
2014-12-04,slow burn,8
2014-12-03,slow burn,3
2014-12-02,slow burn,4
2014-12-01,slow burn,5
2014-11-30,slow burn,9
2014-11-29,slow burn,4
2014-11-28,slow burn,5
2014-11-27,slow burn,5
2014-11-26,slow burn,3
2014-11-25,slow burn,4
2014-11-24,slow burn,8
2014-11-23,slow burn,6
2014-11-22,slow burn,2
2014-11-21,slow burn,2
2014-11-20,slow burn,2
2014-11-19,slow burn,1
2014-11-18,slow burn,4
2014-11-17,slow burn,6
2014-11-16,slow burn,5
2014-11-15,slow burn,4
2014-11-14,slow burn,3
2014-11-13,slow burn,12
2014-11-12,slow burn,6
2014-11-11,slow burn,6
2014-11-10,slow burn,6
2014-11-09,slow burn,5
2014-11-08,slow burn,3
2014-11-07,slow burn,4
2014-11-06,slow burn,2
2014-11-05,slow burn,2
2014-11-04,slow burn,9
2014-11-03,slow burn,5
2014-11-02,slow burn,2
2014-11-01,slow burn,8
2014-10-31,slow burn,8
2014-10-30,slow burn,4
2014-10-29,slow burn,4
2014-10-28,slow burn,11
2014-10-27,slow burn,3
2014-10-26,slow burn,5
2014-10-25,slow burn,6
2014-10-24,slow burn,5
2014-10-23,slow burn,3
2014-10-22,slow burn,2
2014-10-21,slow burn,5
2014-10-20,slow burn,4
2014-10-19,slow burn,3
2014-10-18,slow burn,2
2014-10-17,slow burn,4
2014-10-16,slow burn,6
2014-10-15,slow burn,3
2014-10-14,slow burn,4
2014-10-13,slow burn,9
2014-10-12,slow burn,3
2014-10-11,slow burn,6
2014-10-10,slow burn,2
2014-10-09,slow burn,7
2014-10-08,slow burn,8
2014-10-07,slow burn,3
2014-10-06,slow burn,6
2014-10-05,slow burn,3
2014-10-04,slow burn,3
2014-10-03,slow burn,1
2014-10-02,slow burn,6
2014-10-01,slow burn,1
2014-09-30,slow burn,4
2014-09-29,slow burn,2
2014-09-28,slow burn,3
2014-09-27,slow burn,2
2014-09-26,slow burn,5
2014-09-25,slow burn,4
2014-09-24,slow burn,1
2014-09-23,slow burn,5
2014-09-22,slow burn,6
2014-09-21,slow burn,2
2014-09-20,slow burn,5
2014-09-19,slow burn,4
2014-09-18,slow burn,3
2014-09-17,slow burn,7
2014-09-16,slow burn,5
2014-09-15,slow burn,4
2014-09-14,slow burn,6
2014-09-13,slow burn,6
2014-09-12,slow burn,6
2014-09-11,slow burn,2
2014-09-10,slow burn,6
2014-09-09,slow burn,6
